customer_id,product_id,purchase_count,reorder_count,reorder_rate,first_purchase_order_number,last_purchase_order_number,purchase_span_orders,customer_prior_order_count,order_penetration,avg_add_to_cart_order
1,196,10,9,0.9,1,10,9,10,1.0,1.4
1,10258,9,8,0.8888888888888888,2,10,8,10,0.9,3.3333333333333335
1,10326,1,0,0.0,5,5,0,10,0.1,5.0
1,12427,10,9,0.9,1,10,9,10,1.0,3.3
1,13032,3,2,0.6666666666666666,2,10,8,10,0.3,6.333333333333333
1,13176,2,1,0.5,2,5,3,10,0.2,6.0
1,14084,1,0,0.0,1,1,0,10,0.1,2.0
1,17122,1,0,0.0,5,5,0,10,0.1,6.0
1,25133,8,7,0.875,3,10,7,10,0.8,4.0
1,26088,2,1,0.5,1,2,1,10,0.2,4.5
1,26405,2,1,0.5,1,4,3,10,0.2,5.0
1,30450,1,0,0.0,3,3,0,10,0.1,5.0
1,35951,1,0,0.0,10,10,0,10,0.1,7.0
1,38928,1,0,0.0,10,10,0,10,0.1,4.0
1,39657,1,0,0.0,10,10,0,10,0.1,3.0
1,41787,1,0,0.0,5,5,0,10,0.1,7.0
1,46149,3,2,0.6666666666666666,8,10,2,10,0.3,3.0
1,49235,2,1,0.5,8,9,1,10,0.2,3.5
2,23,1,0,0.0,8,8,0,14,0.07142857142857142,12.0
2,79,1,0,0.0,13,13,0,14,0.07142857142857142,3.0
2,1559,6,5,0.8333333333333334,5,14,9,14,0.42857142857142855,7.5
2,2002,4,3,0.75,8,11,3,14,0.2857142857142857,10.25
2,2573,2,1,0.5,10,14,4,14,0.14285714285714285,10.5
2,3151,1,0,0.0,12,12,0,14,0.07142857142857142,7.0
2,4071,1,0,0.0,11,11,0,14,0.07142857142857142,2.0
2,4957,1,0,0.0,6,6,0,14,0.07142857142857142,17.0
2,5212,1,0,0.0,8,8,0,14,0.07142857142857142,15.0
2,5322,1,0,0.0,5,5,0,14,0.07142857142857142,2.0
2,5450,1,0,0.0,9,9,0,14,0.07142857142857142,17.0
2,5869,1,0,0.0,13,13,0,14,0.07142857142857142,4.0
2,5907,1,0,0.0,5,5,0,14,0.07142857142857142,7.0
2,7781,3,2,0.6666666666666666,3,14,11,14,0.21428571428571427,7.0
2,7963,1,0,0.0,14,14,0,14,0.07142857142857142,16.0
2,8138,1,0,0.0,2,2,0,14,0.07142857142857142,6.0
2,8296,1,0,0.0,11,11,0,14,0.07142857142857142,12.0
2,8479,1,0,0.0,2,2,0,14,0.07142857142857142,3.0
2,9124,1,0,0.0,9,9,0,14,0.07142857142857142,23.0
2,9681,2,1,0.5,4,6,2,14,0.14285714285714285,7.5
2,10305,1,0,0.0,12,12,0,14,0.07142857142857142,10.0
2,12000,5,4,0.8,1,10,9,14,0.35714285714285715,2.6
2,12258,1,0,0.0,12,12,0,14,0.07142857142857142,19.0
2,13176,1,0,0.0,1,1,0,14,0.07142857142857142,12.0
2,13351,2,1,0.5,9,12,3,14,0.14285714285714285,10.0
2,13742,1,0,0.0,9,9,0,14,0.07142857142857142,7.0
2,14306,1,0,0.0,8,8,0,14,0.07142857142857142,16.0
2,14553,1,0,0.0,5,5,0,14,0.07142857142857142,8.0
2,15841,1,0,0.0,9,9,0,14,0.07142857142857142,9.0
2,16521,1,0,0.0,13,13,0,14,0.07142857142857142,6.0
2,16589,5,4,0.8,1,14,13,14,0.35714285714285715,7.6
2,16797,1,0,0.0,2,2,0,14,0.07142857142857142,1.0
2,17224,1,0,0.0,5,5,0,14,0.07142857142857142,3.0
2,17758,2,1,0.5,7,8,1,14,0.14285714285714285,9.5
2,17872,3,2,0.6666666666666666,6,10,4,14,0.21428571428571427,11.333333333333334
2,18523,6,5,0.8333333333333334,6,14,8,14,0.42857142857142855,9.5
2,18961,1,0,0.0,9,9,0,14,0.07142857142857142,8.0
2,19051,4,3,0.75,2,11,9,14,0.2857142857142857,8.25
2,19057,1,0,0.0,13,13,0,14,0.07142857142857142,8.0
2,19156,6,5,0.8333333333333334,5,14,9,14,0.42857142857142855,7.0
2,19240,1,0,0.0,12,12,0,14,0.07142857142857142,8.0
2,20084,1,0,0.0,8,8,0,14,0.07142857142857142,13.0
2,20574,2,1,0.5,1,3,2,14,0.14285714285714285,3.0
2,20785,1,0,0.0,14,14,0,14,0.07142857142857142,14.0
2,21150,1,0,0.0,4,4,0,14,0.07142857142857142,13.0
2,21227,1,0,0.0,11,11,0,14,0.07142857142857142,15.0
2,21376,2,1,0.5,5,9,4,14,0.14285714285714285,4.5
2,21709,2,1,0.5,12,14,2,14,0.14285714285714285,9.0
2,22124,4,3,0.75,5,12,7,14,0.2857142857142857,7.75
2,22474,3,2,0.6666666666666666,1,11,10,14,0.21428571428571427,11.0
2,22559,1,0,0.0,9,9,0,14,0.07142857142857142,24.0
2,22825,1,0,0.0,14,14,0,14,0.07142857142857142,6.0
2,22829,1,0,0.0,4,4,0,14,0.07142857142857142,7.0
2,22963,2,1,0.5,8,12,4,14,0.14285714285714285,12.5
2,24768,1,0,0.0,14,14,0,14,0.07142857142857142,15.0
2,24852,7,6,0.8571428571428571,4,14,10,14,0.5,4.285714285714286
2,24954,1,0,0.0,6,6,0,14,0.07142857142857142,16.0
2,24990,1,0,0.0,12,12,0,14,0.07142857142857142,11.0
2,27344,2,1,0.5,1,6,5,14,0.14285714285714285,7.5
2,27413,1,0,0.0,14,14,0,14,0.07142857142857142,7.0
2,27737,1,0,0.0,9,9,0,14,0.07142857142857142,26.0
2,27966,2,1,0.5,1,6,5,14,0.14285714285714285,10.0
2,28874,1,0,0.0,3,3,0,14,0.07142857142857142,5.0
2,28918,1,0,0.0,8,8,0,14,0.07142857142857142,2.0
2,30489,1,0,0.0,1,1,0,14,0.07142857142857142,10.0
2,30908,1,0,0.0,13,13,0,14,0.07142857142857142,2.0
2,32052,3,2,0.6666666666666666,6,8,2,14,0.21428571428571427,5.333333333333333
2,32139,4,3,0.75,4,11,7,14,0.2857142857142857,6.0
2,32792,9,8,0.8888888888888888,1,12,11,14,0.6428571428571429,1.2222222222222223
2,33276,2,1,0.5,4,6,2,14,0.14285714285714285,15.5
2,33754,5,4,0.8,6,14,8,14,0.35714285714285715,10.8
2,33957,1,0,0.0,9,9,0,14,0.07142857142857142,25.0
2,34688,3,2,0.6666666666666666,4,8,4,14,0.21428571428571427,7.333333333333333
2,35917,1,0,0.0,1,1,0,14,0.07142857142857142,8.0
2,36287,1,0,0.0,12,12,0,14,0.07142857142857142,17.0
2,36735,3,2,0.6666666666666666,4,12,8,14,0.21428571428571427,9.666666666666666
2,37646,1,0,0.0,4,4,0,14,0.07142857142857142,6.0
2,38656,1,0,0.0,5,5,0,14,0.07142857142857142,4.0
2,39877,1,0,0.0,13,13,0,14,0.07142857142857142,7.0
2,39928,1,0,0.0,14,14,0,14,0.07142857142857142,13.0
2,40198,2,1,0.5,7,8,1,14,0.14285714285714285,9.5
2,40571,1,0,0.0,6,6,0,14,0.07142857142857142,18.0
2,41787,2,1,0.5,6,7,1,14,0.14285714285714285,16.0
2,42342,1,0,0.0,13,13,0,14,0.07142857142857142,1.0
2,42356,1,0,0.0,12,12,0,14,0.07142857142857142,18.0
2,44303,1,0,0.0,13,13,0,14,0.07142857142857142,5.0
